t,p,alt,KMF,ax,ay,az,gx,gy,gz,roll,pitch,RAM,Launch,Apo,Land
80970,95502.32,498.49,498.63,1.55,-0.10,-0.01,28.26,0.40,0.66,-95.16,-86.30,571,1,0,0
81013,95500.28,498.70,498.63,2.00,-0.11,-0.20,81.93,4.63,5.21,-151.77,-83.50,571,1,0,0
81046,95499.52,498.77,498.63,2.00,-0.22,-0.49,167.92,-23.34,2.66,-156.08,-75.11,571,1,0,0
81080,95451.81,502.94,498.64,-2.00,1.63,2.00,249.99,10.40,-59.38,39.22,-37.77,571,1,0,0
81114,95429.02,504.93,498.66,-1.34,0.88,0.60,-6.29,26.54,77.16,55.66,51.42,571,1,0,0
81147,95451.96,502.19,498.67,-0.41,0.45,-0.15,-126.20,17.08,16.65,107.91,40.90,571,1,0,0
81184,95473.68,501.02,498.67,-0.01,0.08,0.10,-139.69,10.54,8.73,39.44,6.54,571,1,0,0
81218,95466.94,501.61,498.68,0.01,0.16,0.16,-175.31,11.20,5.23,45.18,-1.35,571,1,0,0
81253,95461.11,501.39,498.69,-0.01,0.13,0.03,-168.85,18.64,0.11,77.79,2.32,571,1,0,0
81287,95468.02,501.46,498.70,0.00,0.10,0.05,-166.85,23.73,-0.50,62.44,-0.37,571,1,0,0
81320,95469.33,501.41,498.71,0.00,0.10,0.05,-163.19,27.47,1.32,62.26,-0.88,571,1,0,0
81354,95466.66,501.64,498.72,0.00,0.10,0.07,-171.10,31.75,3.54,54.44,-1.19,571,1,0,0
81386,95467.60,501.56,498.73,0.00,0.08,0.08,-178.47,36.38,5.59,47.11,-0.75,571,1,0,0
81420,95470.81,501.28,498.74,0.00,0.05,0.07,-193.75,40.69,8.56,39.62,-3.30,571,1,0,0
81454,95465.50,501.74,498.75,0.00,0.04,0.06,-209.99,44.73,13.02,35.65,-3.71,571,1,0,0
81487,95465.27,501.76,498.76,0.00,0.02,0.06,-221.59,47.90,18.97,17.58,-3.96,571,1,0,0
