398,349,300
279,271,266
240,232,233
249,246,240
259,260,251
263,265,258
261,263,260
254,255,255
241,239,243
221,217,223
202,196,204
186,180,186
178,171,174
178,173,171
184,181,175
194,195,186
202,205,197
206,209,203
204,206,204
195,195,197
179,176,182
161,155,162
145,137,145
134,128,132
131,125,126
133,129,125
144,143,136
156,158,149
164,167,159
165,168,163
160,160,159
149,149,152
133,129,136
116,110,117
101,93,100
93,86,91
97,93,92
108,105,99
121,121,112
130,133,126
136,140,133
127,130,131
115,113,119
102,98,105
88,83,91
79,74,80
74,70,73
73,69,70
76,75,71
85,87,79
96,99,91
108,111,103
115,118,112
118,121,116
116,118,117
113,112,113
102,101,105
89,88,94
77,73,79
110,111,104
395,344,294
292,281,271
275,273,269
266,264,264
260,258,258
254,252,252
248,246,246
243,240,241
237,234,235
233,231,232
228,226,227
223,221,222
218,216,218
212,210,212
209,207,209
203,202,204
199,198,200
196,194,196
191,188,191
188,186,188
184,182,184
181,179,181
212,216,211
206,209,209
201,201,204
198,197,200
196,193,196
190,189,191
188,186,188
184,181,184
180,178,181
177,175,177
172,170,173
171,168,171
167,164,167
164,162,164
161,159,160
155,154,157
155,153,155
126,117,119
126,120,116
122,118,112
119,117,110
116,114,108
112,110,104
111,110,103
109,108,102
107,106,100
105,104,98
103,102,96
100,100,94
100,99,94
99,98,93
98,97,92
97,96,91
96,95,91
97,95,90
97,95,90
97,96,89
96,95,89
94,94,88
97,95,90
70,69,73
67,67,69
68,68,70
99,107,102
98,102,103
96,97,100
95,96,100
95,95,98
92,93,97
91,90,93
88,88,91
87,88,90
85,86,90
83,84,88
81,82,86
79,81,84
79,80,83
79,79,82
77,77,80
76,77,79
75,75,78
71,72,75
71,71,73
71,71,73
68,68,71
68,69,72
66,67,69
67,67,70
65,67,68
63,65,68
63,64,66
62,63,65
62,64,66
61,63,65
61,63,64
60,62,63
58,61,62
57,58,61
58,59,61
96,103,94
97,101,97
98,100,97
97,99,96
97,97,95
96,96,94
98,99,96
98,99,96
98,98,97
97,98,96
96,98,96
96,96,94
96,97,96
96,96,95
76,72,73
77,74,69
78,77,71
78,78,71
78,80,73
78,80,74
77,79,74
42,42,47
40,41,44
40,43,44
42,45,46
42,44,45
42,45,46
41,44,44
43,44,44
43,46,46
43,46,45
43,46,46
