Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime
30929,89892,492.33,491.77,30964,10692,1808,1,0,0
30965,89891,492.42,491.78,19680,-14768,-11964,1,0,0
31000,89892,492.33,491.78,-5424,-12668,7060,1,0,0
31036,89892,492.33,491.78,-1740,-9612,7000,1,0,0
31071,89894,492.14,491.78,-1344,-13692,4476,1,0,0
31106,89898,491.77,491.78,-5472,-18004,9720,1,0,0
31141,89904,491.21,491.78,-3276,-15268,8856,1,0,0
31176,89912,490.47,491.77,-3856,-16588,7884,1,0,0
31211,89920,489.73,491.77,-5072,-13928,7512,1,0,0
31251,89929,488.9,491.76,-3040,-12164,6408,1,0,0
31287,89938,488.06,491.74,-1440,-13768,8192,1,0,0
31322,89945,487.41,491.72,612,-12780,8900,1,0,0
31357,89950,486.95,491.7,-736,-10956,7116,1,0,0
31392,89955,486.48,491.68,240,-11488,7432,1,0,0
31428,89959,486.11,491.65,-956,-14484,7340,1,0,0
31464,89959,486.11,491.61,-1248,-18584,7020,1,0,0
31500,89954,486.58,491.58,172,-20564,7832,1,0,0
31535,89944,487.5,491.55,188,-20436,6120,1,0,0
31570,89934,488.43,491.52,2252,-16636,1948,1,0,0
31610,89923,489.45,491.51,9156,-19492,668,1,0,0
31645,89914,490.29,491.5,0,-16456,11064,1,0,0
31680,89907,490.94,491.49,3952,-19948,2832,1,0,0
31716,89901,491.49,491.49,5100,-22840,376,1,0,0
31751,89894,492.14,491.5,-944,-24840,5024,1,0,0
31787,89889,492.61,491.51,-980,-22584,1604,1,0,0
31821,89886,492.89,491.52,-20,-19236,140,1,0,0
31857,89884,493.07,491.53,2504,-16000,212,1,0,0
31892,89882,493.26,491.55,1436,-13332,-1844,1,0,0
31932,89881,493.35,491.56,2176,-5160,-10168,1,0,0
31967,89881,493.35,491.58,-5156,-7536,-2860,1,0,0
32003,89880,493.44,491.6,-1924,-5068,-1836,1,0,0
32038,89879,493.53,491.62,640,-4748,-1108,1,0,0
32073,89880,493.44,491.64,1324,-9280,5612,1,0,0
32108,89879,493.53,491.66,692,-8440,2144,1,0,0
32144,89879,493.53,491.68,2000,-11936,-36,1,0,0
