Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime
20153,89928,488.99,486.3,5424,10676,92,1,0,0
20188,89928,488.99,486.33,744,-15740,2236,1,0,0
20224,89927,489.08,486.37,344,-15660,2248,1,0,0
20258,89927,489.08,486.41,400,-15568,2664,1,0,0
20293,89926,489.17,486.45,828,-15532,3056,1,0,0
20329,89925,489.27,486.49,528,-15960,3548,1,0,0
20364,89923,489.45,486.54,-140,-15072,2604,1,0,0
20399,89923,489.45,486.59,732,-15416,2320,1,0,0
20434,89922,489.54,486.64,1940,-15928,2392,1,0,0
20473,89921,489.64,486.7,2068,-16948,3344,1,0,0
20509,89921,489.64,486.75,872,-17104,3660,1,0,0
20544,89920,489.73,486.81,268,-15556,2764,1,0,0
20580,89920,489.73,486.87,792,-15204,3256,1,0,0
20616,89920,489.73,486.93,708,-15020,3112,1,0,0
20651,89919,489.82,487,344,-15200,2640,1,0,0
20695,89918,489.92,487.06,1300,-14884,2824,1,0,0
20730,89918,489.92,487.13,1344,-15404,2572,1,0,0
20765,89917,490.01,487.2,1244,-16916,3400,1,0,0
20801,89917,490.01,487.27,1312,-16900,3664,1,0,0
20841,89917,490.01,487.34,1672,-16004,2400,1,0,0
20876,89917,490.01,487.41,1528,-15584,2692,1,0,0
20912,89915,490.19,487.49,964,-16180,2808,1,0,0
20946,89917,490.01,487.56,540,-16140,2256,1,0,0
20982,89914,490.29,487.63,804,-15636,2428,1,0,0
21017,89914,490.29,487.71,1268,-15396,2024,1,0,0
21053,89913,490.38,487.79,1440,-15736,2252,1,0,0
21089,89913,490.38,487.87,1596,-16120,2084,1,0,0
21124,89912,490.47,487.95,1976,-16184,2512,1,0,0
21159,89912,490.47,488.03,2076,-15932,3548,1,0,0
21198,89912,490.47,488.11,1436,-15016,3352,1,0,0
21234,89912,490.47,488.18,1016,-14680,2992,1,0,0
21269,89911,490.57,488.26,568,-15260,2384,1,0,0
21305,89911,490.57,488.34,816,-15600,2216,1,0,0
21340,89911,490.57,488.41,1044,-15516,1484,1,0,0
21376,89910,490.66,488.49,1716,-16564,2280,1,0,0
21410,89910,490.66,488.56,1892,-17236,2800,1,0,0
21446,89910,490.66,488.64,1140,-16564,2076,1,0,0
21482,89909,490.75,488.71,1212,-16176,2552,1,0,0
21521,89909,490.75,488.78,908,-15636,2732,1,0,0
21557,89909,490.75,488.85,548,-14952,2464,1,0,0
21592,89908,490.84,488.92,644,-15056,2432,1,0,0
21627,89908,490.84,488.99,984,-15600,2564,1,0,0
21662,89907,490.94,489.06,1040,-15860,2608,1,0,0
21698,89906,491.03,489.13,1532,-15924,2740,1,0,0
21733,89906,491.03,489.2,1672,-16440,2588,1,0,0
21769,89905,491.12,489.26,1796,-16584,2876,1,0,0
21805,89905,491.12,489.33,1672,-16380,3320,1,0,0
21839,89905,491.12,489.39,1212,-15976,2892,1,0,0
21879,89905,491.12,489.46,1572,-15196,2904,1,0,0
21914,89904,491.21,489.52,1528,-14916,2844,1,0,0
21950,89904,491.21,489.58,1712,-15172,2836,1,0,0
21986,89904,491.21,489.64,1580,-15556,2848,1,0,0
22022,89904,491.21,489.69,1652,-15668,2912,1,0,0
22056,89904,491.21,489.74,1352,-15408,2528,1,0,0
22092,89904,491.21,489.8,1152,-15360,1884,1,0,0
22128,89904,491.21,489.84,1432,-15628,2308,1,0,0
22163,89904,491.21,489.89,732,-16172,2264,1,0,0
22199,89904,491.21,489.94,1000,-16180,2064,1,0,0
22246,89904,491.21,489.98,2220,-15700,2084,1,0,0
22281,89903,491.31,490.02,2156,-15304,2104,1,0,0
22317,89903,491.31,490.07,1772,-15472,2024,1,0,0
22351,89902,491.4,490.11,2076,-15592,2320,1,0,0
22387,89902,491.4,490.15,1160,-16036,2312,1,0,0
22422,89902,491.4,490.19,596,-17092,3660,1,0,0
22458,89902,491.4,490.23,468,-16464,3100,1,0,0
22493,89901,491.49,490.27,1048,-14628,2300,1,0,0
22529,89901,491.49,490.31,1348,-13620,3104,1,0,0
22563,89901,491.49,490.35,244,-13552,2808,1,0,0
22603,89901,491.49,490.38,-432,-12344,2480,1,0,0
22638,89900,491.59,490.42,1220,-14928,4228,1,0,0
22674,89900,491.59,490.46,1428,-15612,3588,1,0,0
22710,89900,491.59,490.49,800,-18412,4640,1,0,0
22745,89900,491.59,490.53,1444,-17828,4276,1,0,0
22780,89900,491.59,490.56,1468,-16520,2888,1,0,0
22823,89900,491.59,490.59,1960,-18408,4988,1,0,0
22859,89899,491.68,490.62,1156,-16748,1944,1,0,0
22894,89899,491.68,490.65,2128,-17020,5176,1,0,0
22934,89898,491.77,490.68,1244,-17892,3540,1,0,0
22969,89898,491.77,490.71,976,-16772,2892,1,0,0
23005,89898,491.77,490.74,1672,-16792,3272,1,0,0
23041,89898,491.77,490.77,1884,-15660,2192,1,0,0
23075,89898,491.77,490.8,1992,-12752,232,1,0,0
23111,89897,491.86,490.83,1720,-16060,1244,1,0,0
23146,89897,491.86,490.86,1824,-20348,2880,1,0,0
23182,89897,491.86,490.89,4244,-25908,4292,1,0,0
23217,89897,491.86,490.91,2172,-22636,3012,1,0,0
23252,89896,491.96,490.94,2932,-21104,2192,1,0,0
23291,89896,491.96,490.97,3996,-23124,5256,1,0,0
23327,89896,491.96,490.99,3292,-20740,3936,1,0,0
