Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime
80866,89842,496.97,496.93,6236,12040,-9724,1,0,0
80897,89842,496.97,496.93,-1424,-14252,140,1,0,0
80927,89842,496.97,496.93,-804,-14704,-724,1,0,0
80959,89842,496.97,496.93,-1408,-15740,-780,1,0,0
80990,89842,496.97,496.93,-1872,-16912,-1116,1,0,0
81020,89842,496.97,496.93,-2116,-16696,-1064,1,0,0
81052,89842,496.97,496.93,-2712,-17736,-1520,1,0,0
81083,89842,496.97,496.93,-3396,-19056,-2988,1,0,0
81115,89842,496.97,496.93,-3512,-18320,-2148,1,0,0
81149,89843,496.88,496.93,-2860,-17920,-1600,1,0,0
81180,89843,496.88,496.93,-3492,-18560,-2448,1,0,0
81212,89842,496.97,496.93,-4464,-19684,-3004,1,0,0
81244,89842,496.97,496.93,-3744,-18684,-2788,1,0,0
81275,89842,496.97,496.93,-4320,-19104,-1344,1,0,0
81307,89842,496.97,496.93,-3608,-19376,-2960,1,0,0
81338,89843,496.88,496.93,-2968,-17848,-2124,1,0,0
81370,89843,496.88,496.93,-3460,-16160,-1532,1,0,0
81401,89843,496.88,496.93,-3564,-14632,-1860,1,0,0
81451,89843,496.88,496.93,-936,-12620,-588,1,0,0
81482,89843,496.88,496.93,-1684,-13336,180,1,0,0
81514,89843,496.88,496.93,-2928,-14500,-172,1,0,0
81545,89844,496.78,496.93,-3440,-14456,-80,1,0,0
81576,89844,496.78,496.93,-3780,-15556,-864,1,0,0
81608,89844,496.78,496.93,-3132,-16060,-852,1,0,0
81640,89843,496.88,496.93,-2236,-16132,-1232,1,0,0
81671,89843,496.88,496.93,-1964,-15584,-1096,1,0,0
81702,89843,496.88,496.92,-2544,-15552,-460,1,0,0
81734,89844,496.78,496.92,-2564,-15644,-832,1,0,0
81769,89844,496.78,496.92,-2756,-16028,-1020,1,0,0
81801,89844,496.78,496.92,-2800,-15892,-1184,1,0,0
81832,89845,496.69,496.92,-3060,-16520,-1436,1,0,0
81863,89845,496.69,496.92,-2628,-16160,-1612,1,0,0
81895,89845,496.69,496.92,-2088,-11816,-1112,1,0,0
81927,89845,496.69,496.92,-3056,-17276,-988,1,0,0
81958,89845,496.69,496.92,-3656,-15676,-2068,1,0,0
81989,89845,496.69,496.92,-4032,-15704,-1792,1,0,0
82021,89844,496.78,496.92,-3028,-15704,-1288,1,0,0
82065,89844,496.78,496.92,-3620,-16776,-1564,1,0,0
82097,89845,496.69,496.91,-3940,-16572,-2416,1,0,0
82128,89844,496.78,496.91,-3236,-16600,-1444,1,0,0
82160,89844,496.78,496.91,-2728,-16152,-1360,1,0,0
82191,89844,496.78,496.91,-2556,-16232,-1756,1,0,0
82223,89843,496.88,496.91,-2600,-16104,-1748,1,0,0
82254,89843,496.88,496.91,-2788,-16100,-1884,1,0,0
82286,89843,496.88,496.91,-2748,-16284,-2096,1,0,0
82317,89843,496.88,496.91,-2216,-15756,-2040,1,0,0
82353,89843,496.88,496.91,-2580,-15552,-1592,1,0,0
82383,89843,496.88,496.91,-2476,-15468,-1556,1,0,0
82415,89844,496.78,496.91,-3000,-15712,-1540,1,0,0
82447,89845,496.69,496.91,-2764,-15748,-1724,1,0,0
