Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime
15404,89955,486.48,424.63,-292,16460,-1032,1,0,0
15436,89955,486.48,478.45,-284,16396,-972,1,0,0
15468,89955,486.48,483.01,-288,16488,-1084,1,0,0
15501,89955,486.48,484.35,-140,16612,-1092,1,0,0
15533,89955,486.48,484.97,-140,16528,-1132,1,0,0
15565,89955,486.48,485.32,-244,16516,-1220,1,0,0
15597,89955,486.48,485.54,-72,16652,-1180,1,0,0
15630,89954,486.58,485.71,-196,16432,-1172,1,0,0
15662,89954,486.58,485.83,-136,16572,-1204,1,0,0
15698,89955,486.48,485.91,-212,16540,-1232,1,0,0
15731,89955,486.48,485.98,-132,16504,-1140,1,0,0
15764,89955,486.48,486.03,-96,16516,-1128,1,0,0
15796,89955,486.48,486.07,-132,16508,-1200,1,0,0
15828,89955,486.48,486.11,-260,16492,-1092,1,0,0
15861,89955,486.48,486.14,-168,16468,-1168,1,0,0
15894,89955,486.48,486.16,-240,16488,-1164,1,0,0
15927,89955,486.48,486.19,-252,16440,-1064,1,0,0
15960,89955,486.48,486.21,-208,16568,-1108,1,0,0
15992,89956,486.39,486.22,-212,16560,-1116,1,0,0
16029,89956,486.39,486.23,-260,16516,-1176,1,0,0
16061,89956,486.39,486.24,-172,16528,-1124,1,0,0
16094,89956,486.39,486.25,-180,16600,-1112,1,0,0
16126,89956,486.39,486.25,-200,16616,-1220,1,0,0
16159,89957,486.3,486.26,-156,16496,-1276,1,0,0
16191,89957,486.3,486.26,-224,16568,-1140,1,0,0
16224,89957,486.3,486.26,-232,16428,-1096,1,0,0
16257,89957,486.3,486.26,-280,16528,-1176,1,0,0
16288,89957,486.3,486.26,-256,16540,-1264,1,0,0
16325,89957,486.3,486.26,-132,16476,-1232,1,0,0
16358,89958,486.2,486.26,-204,16416,-1048,1,0,0
16391,89958,486.2,486.26,-256,16488,-1240,1,0,0
16422,89958,486.2,486.26,-204,16516,-1184,1,0,0
16455,89958,486.2,486.26,-220,16448,-1168,1,0,0
16488,89958,486.2,486.25,-156,16528,-1132,1,0,0
16521,89958,486.2,486.25,-272,16496,-1248,1,0,0
16552,89958,486.2,486.25,-200,16540,-1136,1,0,0
16585,89957,486.3,486.25,-204,16472,-1208,1,0,0
16618,89957,486.3,486.25,-160,16464,-1048,1,0,0
16655,89958,486.2,486.25,-236,16488,-1172,1,0,0
16687,89958,486.2,486.25,-212,16416,-1180,1,0,0
16719,89958,486.2,486.25,-220,16544,-1204,1,0,0
16752,89957,486.3,486.25,-276,16548,-1168,1,0,0
16785,89956,486.39,486.26,-160,16492,-1004,1,0,0
16817,89956,486.39,486.26,-200,16512,-1100,1,0,0
16849,89956,486.39,486.26,-96,16444,-1044,1,0,0
16882,89956,486.39,486.27,-184,16412,-1196,1,0,0
16915,89956,486.39,486.27,-180,16520,-1192,1,0,0
16947,89955,486.48,486.27,-148,16448,-1092,1,0,0
16984,89955,486.48,486.28,-160,16460,-1224,1,0,0
17016,89956,486.39,486.28,-188,16524,-1224,1,0,0
17049,89956,486.39,486.28,-224,16436,-1076,1,0,0
17082,89957,486.3,486.28,-176,16392,-1208,1,0,0
17123,89957,486.3,486.28,-200,16528,-1260,1,0,0
17156,89957,486.3,486.28,-188,16472,-1172,1,0,0
17188,89957,486.3,486.28,-260,16432,-1116,1,0,0
17220,89957,486.3,486.28,-152,16456,-1096,1,0,0
17253,89958,486.2,486.28,-136,16560,-1112,1,0,0
17290,89958,486.2,486.28,-288,16468,-1228,1,0,0
17330,89958,486.2,486.28,-228,16508,-1184,1,0,0
17362,89958,486.2,486.28,-260,16516,-1172,1,0,0
17394,89959,486.11,486.28,-168,16472,-1168,1,0,0
17427,89959,486.11,486.27,-252,16440,-1208,1,0,0
17460,89960,486.02,486.27,-228,16424,-1144,1,0,0
17491,89960,486.02,486.26,-212,16632,-1016,1,0,0
17524,89960,486.02,486.26,-248,16504,-1128,1,0,0
17557,89960,486.02,486.26,-216,16524,-1052,1,0,0
17590,89960,486.02,486.25,-196,16424,-1196,1,0,0
17626,89960,486.02,486.25,-232,16480,-1092,1,0,0
17658,89961,485.93,486.24,-176,16580,-1168,1,0,0
17691,89961,485.93,486.24,-268,16504,-1200,1,0,0
17723,89961,485.93,486.23,-252,16464,-1248,1,0,0
17756,89962,485.83,486.23,-284,16512,-1144,1,0,0
17788,89962,485.83,486.22,-76,16448,-1232,1,0,0
17821,89963,485.74,486.21,-184,16500,-1080,1,0,0
17853,89963,485.74,486.21,-172,16516,-1100,1,0,0
17886,89963,485.74,486.2,-160,16488,-1140,1,0,0
17918,89963,485.74,486.19,-244,16496,-1192,1,0,0
17954,89963,485.74,486.19,-164,16532,-1128,1,0,0
17987,89963,485.74,486.18,-200,16608,-1212,1,0,0
18020,89963,485.74,486.17,-172,16588,-1184,1,0,0
18053,89962,485.83,486.17,-248,16420,-1120,1,0,0
18084,89962,485.83,486.16,-228,16516,-1072,1,0,0
