Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime
22903,90042,478.42,451.16,-3024,19140,8812,1,0,0
22937,90036,478.98,452.88,1104,-16212,-1192,1,0,0
22971,90030,479.53,455.31,1096,-16296,-1260,1,0,0
23005,90025,479.99,458.41,1144,-16200,-1268,1,0,0
23038,90020,480.46,461.94,1224,-16232,-1220,1,0,0
23081,90015,480.92,465.51,1112,-16220,-1160,1,0,0
23115,90010,481.39,468.77,1204,-16280,-1224,1,0,0
23149,90005,481.85,471.54,1084,-16284,-1240,1,0,0
23182,90000,482.31,473.79,1104,-16212,-1240,1,0,0
23220,89996,482.68,475.58,1104,-16236,-1156,1,0,0
23254,89991,483.15,477.01,1144,-16128,-1176,1,0,0
23288,89988,483.43,478.13,1176,-16120,-1200,1,0,0
23322,89983,483.43,479.01,1128,-16176,-1280,1,0,0
23356,89983,483.89,479.77,1184,-16224,-1248,1,0,0
23391,89979,484.26,480.42,1188,-16180,-1248,1,0,0
23425,89975,484.63,480.99,1120,-16124,-1216,1,0,0
23458,89971,485,481.5,1128,-16220,-1232,1,0,0
23493,89967,485.37,481.97,1172,-16208,-1164,1,0,0
23531,89964,485.65,482.4,1108,-16208,-1172,1,0,0
23565,89961,485.93,482.79,1144,-16092,-1192,1,0,0
23599,89958,486.2,483.15,1092,-16224,-1128,1,0,0
23633,89954,486.58,483.49,1184,-16216,-1196,1,0,0
23667,89951,486.85,483.82,1116,-16224,-1264,1,0,0
23701,89947,487.23,484.14,1076,-16192,-1212,1,0,0
23736,89944,487.5,484.45,1088,-16192,-1272,1,0,0
23770,89942,487.69,484.74,1180,-16160,-1176,1,0,0
23803,89938,488.06,485.02,1088,-16148,-1136,1,0,0
23837,89936,488.25,485.29,1092,-16212,-1224,1,0,0
23875,89934,488.43,485.55,1216,-16264,-1280,1,0,0
23910,89930,488.8,485.81,1068,-16192,-1240,1,0,0
23944,89928,488.99,486.06,1144,-16308,-1124,1,0,0
23977,89926,489.17,486.3,1204,-16156,-1320,1,0,0
24012,89923,489.45,486.54,1152,-16236,-1208,1,0,0
24046,89920,489.73,486.78,1072,-16240,-1168,1,0,0
24080,89919,489.82,487,1204,-16172,-1276,1,0,0
24115,89915,490.19,487.24,1180,-16272,-1140,1,0,0
24148,89913,490.38,487.45,1168,-16208,-1076,1,0,0
24186,89911,490.57,487.67,1172,-16176,-1248,1,0,0
24220,89908,490.84,487.88,1104,-16224,-1116,1,0,0
24255,89908,490.84,488.09,1180,-16204,-1208,1,0,0
24289,89906,491.03,488.29,1064,-16260,-1124,1,0,0
24323,89904,491.21,488.48,1136,-16192,-1172,1,0,0
24356,89902,491.4,488.68,1292,-16236,-1128,1,0,0
24391,89901,491.49,488.86,1228,-16208,-1060,1,0,0
24425,89898,491.77,489.05,1096,-16236,-1116,1,0,0
24459,89896,491.96,489.24,1244,-16204,-1216,1,0,0
24494,89894,492.14,489.42,1292,-16180,-1120,1,0,0
24531,89892,492.33,489.6,1168,-16240,-1260,1,0,0
24565,89890,492.51,489.78,1172,-16132,-1228,1,0,0
24599,89889,492.61,489.96,1208,-16164,-1168,1,0,0
24634,89887,492.79,490.13,1076,-16268,-1168,1,0,0
24684,89885,492.98,490.31,1180,-16144,-1288,1,0,0
24719,89883,493.16,490.48,1184,-16232,-1216,1,0,0
24753,89881,493.35,490.65,1068,-16160,-1212,1,0,0
24786,89880,493.44,490.82,1156,-16188,-1236,1,0,0
24820,89879,493.53,490.98,1192,-16092,-1044,1,0,0
24858,89877,493.72,491.14,1116,-16324,-1100,1,0,0
24893,89875,493.91,491.3,1208,-16240,-1296,1,0,0
24927,89874,494,491.46,1208,-16280,-1116,1,0,0
24961,89873,494.09,491.61,1184,-16268,-1292,1,0,0
24994,89872,494.18,491.76,1140,-16244,-1240,1,0,0
25038,89872,494.18,491.9,1168,-16180,-1152,1,0,0
25072,89870,494.37,492.03,1092,-16276,-1132,1,0,0
25106,89869,494.46,492.17,1108,-16220,-1240,1,0,0
25140,89867,494.65,492.31,1184,-16196,-1172,1,0,0
25175,89866,494.74,492.44,1128,-16252,-1028,1,0,0
25212,89865,494.83,492.57,1212,-16228,-1200,1,0,0
25246,89864,494.93,492.7,1180,-16200,-1240,1,0,0
25280,89863,495.02,492.82,1060,-16252,-1256,1,0,0
25314,89862,495.11,492.94,1224,-16324,-1272,1,0,0
