V 0.10
Date: 2,7,2019
Height,Pascal,Kalman_Height,mpuPitch,mpuRoll,mpuYaw,OutputX,OutputY
12660,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
12795,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
12931,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
13067,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
13202,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
13337,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
13472,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
13612,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
13748,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
13883,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
14018,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
14153,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
14289,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
14425,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
14560,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
14695,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
14831,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
14969,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
15106,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
15241,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
15376,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
15511,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
15647,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
15782,121.46,93961.00,0.000.00,0.00,0.00,0.00,0.00
15918,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16053,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
16192,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
16327,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16463,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16599,121.55,93960.00,0.000.00,0.00,0.00,0.00,0.00
16734,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
16870,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
17005,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
17162,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
17298,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
17433,121.82,93957.00,0.000.00,0.00,0.00,0.00,0.00
17572,121.91,93956.00,0.000.00,0.00,0.00,0.00,0.00
17708,121.73,93958.00,0.000.00,0.00,0.00,0.00,0.00
17843,121.64,93959.00,0.000.00,0.00,0.00,0.00,0.00
