Time,Pascal,alt,KMF,ax,ay,az,LaunchTime,ApoTime,LandTime15225,89762.00,504.40,441.68,-224,16492,-1756,1,0,0
17960,89761.00,504.49,504.35,-112,16432,-1952,1,0,0
17995,89761.00,504.49,504.35,-212,16500,-1732,1,0,0
18026,89761.00,504.49,504.36,-244,16528,-1812,1,0,0
18058,89761.00,504.49,504.36,-104,16508,-1820,1,0,0
18088,89761.00,504.49,504.36,-136,16584,-1864,1,0,0
18120,89761.00,504.49,504.36,-192,16480,-1740,1,0,0
18151,89761.00,504.49,504.36,-104,16692,-2060,1,0,0
18183,89761.00,504.49,504.36,-120,16448,-1860,1,0,0
18213,89761.00,504.49,504.37,-356,16460,-1736,1,0,0
18245,89760.00,504.59,504.37,-168,16460,-2028,1,0,0
18280,89760.00,504.59,504.37,-144,16492,-1772,1,0,0
18311,89760.00,504.59,504.37,-128,16408,-1788,1,0,0
18342,89761.00,504.49,504.38,-404,16708,-1836,1,0,0
18373,89761.00,504.49,504.38,-56,16536,-1788,1,0,0
18418,89760.00,504.59,504.38,-328,16572,-1800,1,0,0
18449,89761.00,504.49,504.38,-376,16584,-1720,1,0,0
18481,89761.00,504.49,504.38,-388,16572,-1576,1,0,0
18511,89761.00,504.49,504.38,-72,16484,-1952,1,0,0
18543,89761.00,504.49,504.38,-108,16444,-1876,1,0,0
18574,89761.00,504.49,504.39,632,20056,-3600,1,0,0
18618,89761.00,504.49,504.39,-1540,17648,-1620,1,0,0
18649,89761.00,504.49,504.39,1948,16680,-3992,1,0,0
18680,89762.00,504.40,504.39,2488,17592,-2532,1,0,0
18711,89761.00,504.49,504.39,208,16188,912,1,0,0
18743,89761.00,504.49,504.39,652,14880,668,1,0,0
18774,89761.00,504.49,504.39,-1524,18220,-848,1,0,0
18804,89762.00,504.40,504.39,824,16032,-976,1,0,0
18836,89762.00,504.40,504.39,-100,17064,-1496,1,0,0
18867,89762.00,504.40,504.39,-952,18628,-1732,1,0,0
18898,89762.00,504.40,504.39,-3016,16052,488,1,0,0
18933,89761.00,504.49,504.39,-2144,16804,856,1,0,0
18964,89760.00,504.59,504.39,-2416,15396,392,1,0,0
18996,89760.00,504.59,504.40,-2444,14608,3032,1,0,0
19026,89760.00,504.59,504.40,-3192,12920,1976,1,0,0
19058,89761.00,504.49,504.40,-2160,15964,2080,1,0,0
19089,89760.00,504.59,504.40,-14368,7352,18928,1,0,0
19121,89761.00,504.49,504.40,104,18444,-1196,1,0,0
19151,89761.00,504.49,504.40,-1572,17684,2688,1,0,0
19182,89761.00,504.49,504.40,-1388,17932,412,1,0,0
19214,89762.00,504.40,504.40,-1172,18572,2936,1,0,0
19249,89762.00,504.40,504.40,-6628,15728,10540,1,0,0
19279,89762.00,504.40,504.40,9008,11128,-3048,1,0,0
19311,89762.00,504.40,504.40,500,10344,9728,1,0,0
19342,89763.00,504.31,504.40,-484,13252,9980,1,0,0
19374,89762.00,504.40,504.40,6540,13068,4000,1,0,0
19404,89762.00,504.40,504.40,1832,14184,8812,1,0,0
19435,89762.00,504.40,504.40,2880,13504,8912,1,0,0
19467,89761.00,504.49,504.40,944,10932,10172,1,0,0
19497,89761.00,504.49,504.40,2540,9008,9824,1,0,0
19532,89761.00,504.49,504.41,3540,3896,14040,1,0,0
19564,89761.00,504.49,504.41,-2140,4772,15784,1,0,0
19595,89761.00,504.49,504.41,-232,7100,14040,1,0,0
19625,89761.00,504.49,504.41,-796,5420,15516,1,0,0
19657,89761.00,504.49,504.41,-76,4044,15108,1,0,0
19688,89761.00,504.49,504.41,116,3684,15668,1,0,0
19720,89761.00,504.49,504.41,76,2000,15452,1,0,0
19750,89760.00,504.59,504.41,324,1324,14980,1,0,0
19781,89760.00,504.59,504.41,1044,1692,15168,1,0,0
19813,89761.00,504.49,504.41,776,828,15044,1,0,0
19848,89761.00,504.49,504.41,-584,-1240,16168,1,0,0
19878,89760.00,504.59,504.42,524,-336,13752,1,0,0
19909,89760.00,504.59,504.42,-1252,820,15072,1,0,0
19941,89761.00,504.49,504.42,156,-2188,16068,1,0,0
19972,89761.00,504.49,504.42,1420,-1588,14508,1,0,0
20003,89761.00,504.49,504.42,1460,168,14292,1,0,0
20034,89760.00,504.59,504.42,844,-1148,13880,1,0,0
20065,89760.00,504.59,504.42,976,-1956,14832,1,0,0
20097,89761.00,504.49,504.42,-580,-1628,16356,1,0,0
20127,89761.00,504.49,504.42,1044,-2080,15344,1,0,0
20175,89761.00,504.49,504.42,1452,-1860,15352,1,0,0
20207,89762.00,504.40,504.42,1392,-1796,15256,1,0,0
20238,89762.00,504.40,504.42,672,-2172,15304,1,0,0
20270,89762.00,504.40,504.42,380,-1752,15468,1,0,0
20300,89762.00,504.40,504.42,1096,-1880,15388,1,0,0
20331,89762.00,504.40,504.42,1180,-1880,15276,1,0,0
20363,89762.00,504.40,504.42,976,-1556,15336,1,0,0
20393,89762.00,504.40,504.42,1316,-1880,15328,1,0,0
20434,89762.00,504.40,504.42,1388,-1792,15276,1,0,0
20465,89761.00,504.49,504.42,1704,-1964,15080,1,0,0
20500,89761.00,504.49,504.42,1260,56,14792,1,0,0
20531,89761.00,504.49,504.42,2592,-1588,14736,1,0,0
20562,89761.00,504.49,504.42,2412,-1880,14884,1,0,0
20593,89761.00,504.49,504.42,1556,-1812,15152,1,0,0
20625,89761.00,504.49,504.42,884,-1880,15448,1,0,0
20656,89761.00,504.49,504.42,284,-1576,15000,1,0,0
20686,89760.00,504.59,504.43,2440,-2132,15064,1,0,0
20718,89760.00,504.59,504.43,1072,-2304,15648,1,0,0
20749,89760.00,504.59,504.43,388,-1936,15560,1,0,0
20780,89760.00,504.59,504.43,836,-1884,15436,1,0,0
20815,89760.00,504.59,504.43,1096,-1764,15356,1,0,0
20846,89760.00,504.59,504.43,1164,-1856,15272,1,0,0
20877,89759.00,504.68,504.43,1244,-1720,15068,1,0,0
20909,89759.00,504.68,504.43,1536,-2092,15276,1,0,0
20939,89759.00,504.68,504.44,1124,-2764,15964,1,0,0
20970,89759.00,504.68,504.44,836,-1984,15340,1,0,0
21002,89759.00,504.68,504.44,1052,-2268,15104,1,0,0
21032,89759.00,504.68,504.44,768,-2384,14952,1,0,0
